Identifiant;Commune du lieu d'intervention;Type d'intervention;Numéro de la voie;Type de voie;Nom de la voie;Préfixe de la voie;location
5880;PLESSE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;PIERRE FOLLE;LA;47.53288536, -1.94174877979
5885;PONT SAINT MARTIN;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D65 RTE DE REZE;;47.1459912161, -1.56438418674
5897;PONTCHATEAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;BEAULIEU;;47.4505569088, -2.1262963673
5898;PONTCHATEAU;ACCIDENT VOIE PUBLIQUE;;ROUTE;SAINT GILDAS;DE;47.4500647676, -2.08676776417
5900;PONTCHATEAU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - VANNES;;47.4469080505, -2.09110092422
5902;PONTCHATEAU;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;MADELEINE DU CALVAIRE;LA;47.4425088493, -2.12963295531
5903;PONTCHATEAU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS VANNES - NANTES;;47.441399238, -2.07894382342
5905;PONTCHATEAU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - VANNES;;47.4254905783, -2.05807109349
5906;PONTCHATEAU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS NANTES - VANNES;;47.4228743752, -2.05484202863
5912;PORNIC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D286 STE MARIE - ST PERE;;47.1354564557, -2.10696121611
5916;PORNIC;ACCIDENT VOIE PUBLIQUE;;RUE;PONT DU CLION;DU;47.1256831114, -2.04794433249
5925;PORNIC;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D751 RTE DE NANTES;;47.1122695535, -2.04291414297
5929;PORNIC;ACCIDENT VOIE PUBLIQUE;;ECHANGEUR,PORTE;ROGERE;DE LA;47.1045616, -2.04941049232
5933;PORNICHET;ACCIDENT VOIE PUBLIQUE;;ROUTE;VILLES BABIN;DE LA;47.2580882206, -2.31110622622
5935;PORNICHET;ACCIDENT VOIE PUBLIQUE;38;AVENUE;COLS VERTS;DES;47.2537739995, -2.32667967582
5944;PORT SAINT PERE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;VIEILLE BRETONNIERE;LA;47.1334053005, -1.78466984736
5947;PORT SAINT PERE;ACCIDENT VOIE PUBLIQUE;;ROUTE DEPARTEMENTALE;D751 RTE DE NANTES;;47.1300040578, -1.75249163152
5951;PORT SAINT PERE;ACCIDENT VOIE PUBLIQUE;;LIEU-DIT,VILLAGE,HAMEAU;GRAND MOULIN;LE;47.1147384288, -1.77489489009
5956;PREFAILLES;ACCIDENT VOIE PUBLIQUE;;RUE;PREE;DE LA;47.1347553423, -2.21184118162
5957;PREFAILLES;ACCIDENT VOIE PUBLIQUE;;ROUTE;PREE;DE LA;47.13248476, -2.21343104774
5961;PRINQUIAU;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS LA BAULE - SAVENAY;;47.3587488193, -2.04480543082
5970;PUCEUL;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS RENNES - NANTES;;47.5197100207, -1.64087983665
5972;PUCEUL;ACCIDENT VOIE PUBLIQUE;;AUTOROUTE;SENS RENNES - NANTES;;47.5027907657, -1.63893765222
5983;REZE;ACCIDENT VOIE PUBLIQUE;1 BIS;AVENUE;LIBERATION;DE LA;47.1928433099, -1.54711934925
5984;REZE;ACCIDENT VOIE PUBLIQUE;;RUE;ERDRONNIERE;DE L';47.1909580597, -1.54880597014
5986;REZE;ACCIDENT VOIE PUBLIQUE;28;RUE;MAURICE LAGATHU;;47.1818418453, -1.53787968145
